doc_id,approved,p_true,item_category,supplier_trust,increase_rate,month,days_since_last_change,season_signal,rule_violation,exception_flags,review_result
DOC-000000,0,0.7448395615589296,frozen,0.68,0.03357128234771331,4,27.208673691443686,-0.2250000000000002,none,,승인가능
DOC-000001,1,0.6375706000346872,frozen,0.5479213433588199,0.06189344187515991,6,157.93742041329827,-0.45,none,,승인가능
DOC-000002,1,0.9579992619978388,grain,0.7734907905857604,0.004458472284650468,5,160.5277717838778,-0.30310889132455354,none,,승인가능
DOC-000003,0,0.4261601061605398,meat,0.5376007584991788,0.10391586643602058,1,199.32196377752345,-0.27500000000000024,none,,승인가능
DOC-000004,1,0.8065557151513312,grain,0.48,0.010505015596348491,12,126.75380319566679,0.17500000000000002,none,,승인가능
DOC-000005,0,0.17907830846207892,vegetable,0.5987221485779054,0.10549907796867475,12,33.689263148728415,-0.8227241335952168,none,,승인가능
DOC-000006,1,0.8586945139625188,sauce,0.68,0.035345764685122634,8,83.86836388930261,0.15000000000000002,none,,승인가능
DOC-000007,0,0.5875588913077697,sauce,0.5987221485779054,0.039563518019860536,6,13.351990092273303,0.3,none,,승인가능
DOC-000008,1,0.8070519176320357,sauce,0.68,0.05232804303137564,12,104.98274427086209,-0.3,none,,승인가능
DOC-000009,0,0.4906770987981862,grain,0.48,0.03965385434668944,7,31.677941453967495,2.143131898507868e-17,none,,승인가능
DOC-000010,1,0.8764048359246094,vegetable,0.7734907905857604,0.047732977800120924,6,45.127405825606544,0.8227241335952168,none,,승인가능
DOC-000011,0,0.6165041364712768,meat,0.55,0.051609848214125474,3,84.85930203539225,-0.55,none,,승인가능
DOC-000012,1,0.6722204486733955,grain,0.5987221485779054,0.04757305999454016,3,59.264153541362866,-0.30310889132455354,none,,승인가능
DOC-000013,1,0.8770759780826031,dairy,0.72,0.05261166753941077,6,157.90976710054542,2.4492935982947065e-17,none,,승인가능
DOC-000014,0,0.22388768650110474,packaging,0.7734907905857604,0.1380844521934193,9,3.0,-9.184850993605149e-18,none,,승인가능
DOC-000015,0,0.130274480781199,packaging,0.7185558772859356,0.15966038983067993,8,9.951756547508007,-0.025000000000000022,none,,승인가능
DOC-000016,1,0.9106054666472726,vegetable,0.55,-0.01660991925885806,8,129.30551805050828,0.8227241335952168,none,,승인가능
DOC-000017,1,0.8226903558077334,grain,0.7734907905857604,0.062349811537491785,11,47.2632699038693,0.30310889132455354,none,,승인가능
DOC-000018,0,0.02,sauce,0.72,0.010675212456530983,7,12.26321897382577,0.2598076211353316,spec_mismatch,spec_mismatch,보류필요
DOC-000019,1,0.9516732213238017,vegetable,0.68,-0.010666074314413715,10,186.01731914234148,5.817072295949927e-17,none,,승인가능
DOC-000020,1,0.7156883982203106,meat,0.8,0.0886777413817538,9,21.40477535658643,0.55,none,,승인가능
DOC-000021,1,0.8668361113231356,sauce,0.561851874525168,0.014005572182425041,3,173.02904204028275,1.8369701987210297e-17,none,,승인가능
DOC-000022,1,0.8246602913979664,frozen,0.7185558772859356,0.05503633496671786,11,60.476993152227536,0.38971143170299744,none,,승인가능
DOC-000023,1,0.7582854973842883,dairy,0.55,0.028368278362183398,7,83.13126934724569,-0.19999999999999993,none,,승인가능
DOC-000024,0,0.02,meat,0.72,0.031002945955627484,10,41.74130092822159,0.47631397208144133,missing_required,missing_required,확인필요
DOC-000025,0,0.6324033744367278,frozen,0.561851874525168,0.06354233352030045,5,125.95516713371607,-0.3897114317029975,none,,승인가능
DOC-000026,1,0.900386586661997,grain,0.8,0.02064970114263777,11,32.88319087258415,0.30310889132455354,none,,승인가능
DOC-000027,0,0.2675006653671183,seafood,0.72,0.14060077143657526,8,72.62397099846822,-0.736121593216773,none,,승인가능
DOC-000028,1,0.6797761734007423,meat,0.5987221485779054,0.0604348797116195,5,98.1371814346885,-0.2749999999999999,none,,승인가능
DOC-000029,1,0.744554486907078,vegetable,0.68,0.06065938933480426,10,63.26081690245702,5.817072295949927e-17,none,,승인가능
DOC-000030,0,0.3663787302192247,vegetable,0.5987221485779054,0.08260454159021212,12,52.853764996279885,-0.8227241335952168,none,,승인가능
DOC-000031,1,0.9238134893747733,grain,0.8,0.04058602982608257,12,101.5396688024441,0.17500000000000002,none,,승인가능
DOC-000032,0,0.02,vegetable,0.5376007584991788,0.16913763889454392,2,75.4732233847386,-0.8227241335952168,missing_required,missing_required,확인필요
DOC-000033,1,0.527221025865286,packaging,0.48,0.0793043030941979,12,190.8647409894269,0.05,none,,승인가능
DOC-000034,0,0.04678901778295716,vegetable,0.72,0.2915620908337249,10,82.68294459182403,5.817072295949927e-17,none,,승인가능
DOC-000035,0,0.3097008898459596,seafood,0.5987221485779054,0.09817945178877782,8,61.97370233476597,-0.736121593216773,none,,승인가능
DOC-000036,1,0.42293271933873666,dairy,0.5376007584991788,0.09442710382377303,1,67.34769792225389,0.20000000000000007,none,,승인가능
DOC-000037,0,0.6782746120150664,meat,0.561851874525168,0.06641015479015906,5,271.62524089050015,-0.2749999999999999,none,,승인가능
DOC-000038,0,0.02,sauce,0.5376007584991788,0.18786045165394175,9,68.70392065820701,1.8369701987210297e-17,spec_mismatch,spec_mismatch,보류필요
DOC-000039,0,0.02,sauce,0.5479213433588199,0.06257665001401212,9,61.36353601783899,1.8369701987210297e-17,unit_mismatch,spec_mismatch;unit_mismatch,보류필요
DOC-000040,0,0.3330009684107645,sauce,0.561851874525168,0.12978473890032635,12,270.6322331579359,-0.3,none,,승인가능
DOC-000041,1,0.9280696502364603,vegetable,0.5987221485779054,-0.008757583283962643,10,216.9684968446672,5.817072295949927e-17,none,,승인가능
DOC-000042,0,0.7880423657313247,dairy,0.5376007584991788,0.028534716044954334,12,120.42419655356923,-7.347880794884119e-17,none,,승인가능
DOC-000043,0,0.2664469287742042,seafood,0.5376007584991788,0.17852243126528652,2,89.86211029326037,0.7361215932167728,none,,승인가능
DOC-000044,1,0.850606051657466,dairy,0.561851874525168,-0.005280346202841556,11,56.02434583286773,-0.20000000000000018,none,,승인가능
DOC-000045,0,0.06995835558877904,vegetable,0.7185558772859356,0.160109581353485,1,27.362577305500274,-0.95,none,,승인가능
DOC-000046,0,0.13445568013383682,vegetable,0.5479213433588199,0.14968554370001363,2,277.1064076649126,-0.8227241335952168,none,,승인가능
DOC-000047,1,0.8814530866502307,packaging,0.8990778262786678,0.0668548584977799,8,46.187837821273284,-0.025000000000000022,none,,승인가능
DOC-000048,1,0.6577133951092556,vegetable,0.7185558772859356,0.052023488921952986,2,29.767843807938196,-0.8227241335952168,none,,승인가능
DOC-000049,1,0.7219034898437326,frozen,0.561851874525168,0.054292744347420235,10,108.40674680861041,0.22500000000000006,none,,승인가능
DOC-000050,1,0.7903825612741007,frozen,0.7185558772859356,0.06365798314894479,10,61.27923520909708,0.22500000000000006,none,,승인가능
DOC-000051,1,0.9168390351146224,dairy,0.7185558772859356,-0.007281854422482576,12,40.67842906032747,-7.347880794884119e-17,none,,승인가능
DOC-000052,0,0.02,seafood,0.5376007584991788,0.05612555612624577,12,136.11171625062448,0.7361215932167726,spec_mismatch,spec_mismatch,보류필요
DOC-000053,1,0.8586327358023947,frozen,0.8,0.05951422400767348,2,55.08723570429358,0.22500000000000006,none,,승인가능
DOC-000054,1,0.4738551076816911,sauce,0.7185558772859356,0.08897992879599395,9,16.121089574132203,1.8369701987210297e-17,none,,승인가능
DOC-000055,0,0.5275214814123054,frozen,0.5376007584991788,0.05889616681596633,7,64.66280623209002,-0.38971143170299744,none,,승인가능
DOC-000056,1,0.9164059344319283,sauce,0.5376007584991788,-0.0189520748288077,9,172.90066265719693,1.8369701987210297e-17,none,,승인가능
DOC-000057,1,0.7694531390137848,sauce,0.72,0.07772644270422417,12,123.63354200331452,-0.3,none,,승인가능
DOC-000058,0,0.8044269298296779,frozen,0.7734907905857604,0.09573134764963581,1,80.69513286839275,0.38971143170299727,none,,승인가능
DOC-000059,0,0.540295768306964,frozen,0.5376007584991788,0.08435714601761113,4,184.91868556544054,-0.2250000000000002,none,,승인가능
DOC-000060,0,0.007733479340046776,vegetable,0.5376007584991788,0.233976676012585,11,43.9623209338429,-0.47499999999999976,none,,승인가능
DOC-000061,1,0.8467806881943494,sauce,0.8,0.1005243141570703,9,277.13221704377804,1.8369701987210297e-17,none,,승인가능
DOC-000062,1,0.5136469328693133,vegetable,0.5376007584991788,0.060562018679153,10,47.98095897405308,5.817072295949927e-17,none,,승인가능
DOC-000063,1,0.8935285380377876,dairy,0.7734907905857604,0.05581883271132979,10,201.28624112741616,-0.34641016151377557,none,,승인가능
DOC-000064,0,0.24829037012857202,dairy,0.7734907905857604,0.15246522849603653,1,9.100008889703714,0.20000000000000007,none,,승인가능
DOC-000065,1,0.8597535674625304,meat,0.5479213433588199,0.015739099820160418,6,219.55132185034267,3.367778697655222e-17,none,,승인가능
DOC-000066,0,0.536755405586352,packaging,0.55,0.05817775123489945,5,47.03625517162449,-0.04330127018922194,none,,승인가능
DOC-000067,1,0.896783895796099,vegetable,0.7185558772859356,0.020959246721516965,8,56.92326479154622,0.8227241335952168,none,,승인가능
DOC-000068,1,0.8051982337987008,vegetable,0.5376007584991788,0.02132689563755879,12,153.77612972068974,-0.8227241335952168,none,,승인가능
DOC-000069,1,0.5618376725954235,meat,0.55,0.09425336613493507,11,128.42538582418786,0.2750000000000001,none,,승인가능
DOC-000070,1,0.9594229784133492,packaging,0.8990778262786678,0.0019911560871651458,9,42.05149841406733,-9.184850993605149e-18,none,,승인가능
DOC-000071,0,0.02,meat,0.561851874525168,0.047183838859878875,12,174.25303351862536,3.367778697655222e-17,missing_required,missing_required,확인필요
DOC-000072,1,0.5679056070397258,frozen,0.5376007584991788,0.06322186588882232,5,98.1863313160015,-0.3897114317029975,none,,승인가능
DOC-000073,1,0.7814280067800722,vegetable,0.72,0.03244503271341603,12,33.71399709635544,-0.8227241335952168,none,,승인가능
DOC-000074,1,0.5544285862719948,grain,0.7185558772859356,0.08363371220933256,8,19.71379860889373,0.17500000000000002,none,,승인가능
DOC-000075,1,0.7209211111666384,packaging,0.5987221485779054,0.05402562104157457,11,84.89768655669185,0.04330127018922192,none,,승인가능
DOC-000076,0,0.02,sauce,0.72,0.08325639315694132,11,182.34063646249473,-0.2598076211353316,unit_mismatch,spec_mismatch;unit_mismatch,보류필요
DOC-000077,1,0.8253115900690746,packaging,0.7185558772859356,0.06885633372509112,1,118.57613101344974,0.04330127018922194,none,,승인가능
DOC-000078,1,0.6496910438992229,grain,0.72,0.054626973080762545,1,14.134124061498493,-6.429395695523604e-17,none,,승인가능
DOC-000079,0,0.34089401028841837,packaging,0.7185558772859356,0.16522778211540362,2,71.18281838124092,0.02500000000000001,none,,승인가능
DOC-000080,1,0.8532044108317376,frozen,0.8990778262786678,0.16714301933401776,11,233.4222811447885,0.38971143170299744,none,,승인가능
DOC-000081,1,0.6495173874391335,frozen,0.5376007584991788,0.0366012324888998,1,41.04076990536008,0.38971143170299727,none,,승인가능
DOC-000082,1,0.8540487613469802,frozen,0.72,0.0508822121741682,7,131.51867003556487,-0.38971143170299744,none,,승인가능
DOC-000083,0,0.8600364482223415,sauce,0.7734907905857604,0.07318429359362538,5,97.49582265778753,0.2598076211353316,none,,승인가능
DOC-000084,0,0.08089934159606398,dairy,0.72,0.21523039048678405,9,66.09260161347345,-0.4,none,,승인가능
DOC-000085,0,0.002482092625382182,seafood,0.48,0.23185969724898922,6,33.18030223978276,-0.7361215932167728,none,,승인가능
DOC-000086,0,0.02,meat,0.561851874525168,0.06953441655631087,10,38.222811189093434,0.47631397208144133,unit_mismatch,spec_mismatch;unit_mismatch,보류필요
DOC-000087,0,0.02,frozen,0.5376007584991788,0.016523629729895226,2,107.74366654024819,0.22500000000000006,duplicate,duplicate_suspected,보류필요
DOC-000088,0,0.535699287657458,vegetable,0.5987221485779054,0.07871909747688648,7,22.330848507843974,0.95,none,,승인가능
DOC-000089,0,0.6833559078996244,grain,0.55,0.04401057763869697,8,66.15312249747086,0.17500000000000002,none,,승인가능
DOC-000090,0,0.6344914261166903,grain,0.55,0.07282738418810857,12,119.1786151780106,0.17500000000000002,none,,승인가능
DOC-000091,0,0.37002435693146163,sauce,0.7734907905857604,0.19978385999800954,8,87.91661786643334,0.15000000000000002,none,,승인가능
DOC-000092,0,0.01808154629251193,sauce,0.55,0.25733555722542134,2,87.31682769038696,-0.14999999999999994,none,,승인가능
DOC-000093,1,0.8971193788172107,vegetable,0.8,0.03047032868050428,6,33.62420192533038,0.8227241335952168,none,,승인가능
DOC-000094,1,0.44201279940166527,sauce,0.55,0.06785994805438411,1,44.26709024523365,-0.2598076211353316,none,,승인가능
DOC-000095,0,0.5930208284808635,dairy,0.5987221485779054,0.027695427280866346,6,6.437259421624842,2.4492935982947065e-17,none,,승인가능
DOC-000096,1,0.4446621370740703,grain,0.5987221485779054,0.05362199128645859,12,4.83778778930616,0.17500000000000002,none,,승인가능
DOC-000097,1,0.7071872234118931,sauce,0.7185558772859356,0.04165516541184981,12,17.846626322649204,-0.3,none,,승인가능
DOC-000098,0,0.010600581286498817,grain,0.5987221485779054,0.2553101960783686,1,22.813348853262994,-6.429395695523604e-17,none,,승인가능
DOC-000099,0,0.669297996268205,sauce,0.55,0.04200396812793657,4,56.92983599835224,0.15000000000000002,none,,승인가능
DOC-000100,0,0.02,seafood,0.561851874525168,0.03413555717945462,6,12.282120828681094,-0.7361215932167728,spec_mismatch,spec_mismatch,보류필요
DOC-000101,1,0.8726000574153285,seafood,0.7734907905857604,0.04569978530498575,3,51.42722458318142,0.4250000000000001,none,,승인가능
DOC-000102,0,0.03429824593345919,meat,0.5987221485779054,0.17892152128330796,2,26.86300807439699,-0.4763139720814414,none,,승인가능
DOC-000103,1,0.862580733224414,meat,0.5376007584991788,0.0012622286753102355,6,107.42124318812243,3.367778697655222e-17,none,,승인가능
DOC-000104,0,0.019447423754732546,sauce,0.48,0.18240081175752,10,23.190312510482304,-0.14999999999999994,none,,승인가능
DOC-000105,0,0.02,sauce,0.5987221485779054,0.07454479141523973,9,79.78616740043418,1.8369701987210297e-17,spec_mismatch,spec_mismatch,보류필요
DOC-000106,0,0.6223107986645917,vegetable,0.5987221485779054,0.07692722443847486,8,44.089287573139494,0.8227241335952168,none,,승인가능
DOC-000107,0,0.9224578216685723,packaging,0.7734907905857604,0.0376023315602845,10,130.75992222373642,0.02500000000000001,none,,승인가능
DOC-000108,1,0.9337442593392848,sauce,0.8,0.011366870474577864,5,54.81556410730035,0.2598076211353316,none,,승인가능
DOC-000109,1,0.7204435512345374,grain,0.561851874525168,0.03189214044503226,1,57.153486313996396,-6.429395695523604e-17,none,,승인가능
DOC-000110,1,0.800753923564924,frozen,0.5376007584991788,0.008460161166141957,12,59.45969123338694,0.45,none,,승인가능
DOC-000111,1,0.7333005387160693,seafood,0.72,0.07653320123154053,4,65.57690487553727,5.204748896376251e-17,none,,승인가능
DOC-000112,1,0.965521809514672,seafood,0.7734907905857604,-0.002233497107315438,9,229.0843279078945,-0.4250000000000004,none,,승인가능
DOC-000113,0,0.5661327517468149,meat,0.561851874525168,0.04159010029427431,6,25.71512942662287,3.367778697655222e-17,none,,승인가능
DOC-000114,1,0.9282304293549126,vegetable,0.7734907905857604,-0.014224723046506123,8,23.88985943363562,0.8227241335952168,none,,승인가능
DOC-000115,0,0.09766845054782827,sauce,0.72,0.17921459228365327,11,24.350913561606806,-0.2598076211353316,none,,승인가능
DOC-000116,0,0.5379620888908747,frozen,0.48,0.02083853882268946,12,13.722478170593519,0.45,none,,승인가능
DOC-000117,0,0.13577205627301844,sauce,0.72,0.15969450676732935,9,10.14271085057746,1.8369701987210297e-17,none,,승인가능
DOC-000118,0,0.02,dairy,0.5987221485779054,0.032846182729452236,9,34.448093413025866,-0.4,unit_mismatch,spec_mismatch;unit_mismatch,보류필요
DOC-000119,0,0.6579311624615959,grain,0.55,0.06328900290713771,4,193.5862951885172,-0.35,none,,승인가능
DOC-000120,0,0.7704354341656859,grain,0.7185558772859356,0.047314426768275165,11,29.76803728693831,0.30310889132455354,none,,승인가능
DOC-000121,1,0.689046803614208,packaging,0.5376007584991788,0.033501680423654305,7,59.896654149534534,-0.043301270189221946,none,,승인가능
DOC-000122,0,0.02,dairy,0.8,-0.020339576454319275,7,169.88607318734194,-0.19999999999999993,duplicate,duplicate_suspected,보류필요
DOC-000123,1,0.9298487115371445,vegetable,0.7734907905857604,0.06879405736913645,7,210.25389138957624,0.95,none,,승인가능
DOC-000124,1,0.7636239074563473,frozen,0.72,0.05906421077512475,9,49.782311105473994,2.7554552980815448e-17,none,,승인가능
DOC-000125,1,0.6386260889876955,frozen,0.48,0.058690287286990536,11,131.64536318445462,0.38971143170299744,none,,승인가능
DOC-000126,1,0.8813189411799143,vegetable,0.561851874525168,0.0011981748005602394,8,116.11582030759396,0.8227241335952168,none,,승인가능
DOC-000127,0,0.05383417998173614,vegetable,0.5479213433588199,0.1341168380894921,12,26.248727211800976,-0.8227241335952168,none,,승인가능
DOC-000128,0,0.5571960502316234,sauce,0.5376007584991788,0.06680911921103877,10,85.85570047222696,-0.14999999999999994,none,,승인가능
