문서ID;원본유형;공급사;원문 품목명;정규화 품목명;규격;단위;기존단가;변경단가;적용일
GEN-0001;수기;가온푸드(예시);체다슬라이스;체다 슬라이스;1kg×10PK/BOX;BOX;₩42,500;₩43,373;
GEN-0002;XLSX;바다원(예시);냉동감자튀김2K;냉동 감자튀김;;;₩45,500;;2026-08-07
GEN-0003;IMAGE;푸른포장(예시);밀또띠아10인치;밀 또띠아 10인치;12매×10PK/BOX;BOX;₩37,500;₩36,767;2026-08-12
GEN-0004;IMAGE;푸른포장(예시);밀또띠아10인치;밀 또띠아 10인치;12매×10PK/BOX;BOX;₩37,500;₩36,767;2026-08-12
GEN-0005;XLSX;새봄식품(예시);스모크BBQ소스;스모크 바비큐소스;2kg×6PK/BOX;BOX;₩59,500;₩40,142;2026-08-15
GEN-0006;XLSX;새봄식품(예시);스모크BBQ소스 (재견적);스모크 바비큐소스;2kg×6PK/BOX;BOX;₩59,500;₩41,142;2026-08-15
GEN-0007;수기;바다원(예시);블랙빈2.5K;블랙빈;기존 10kg / 변경 9kg;BOX;₩58,500;₩57,537;2026-08-10
GEN-0008;수기;푸른포장(예시);올리브오일3L;올리브 오일;기존 5kg / 변경 4.5kg;BOX;₩73,000;₩76,394;2026-08-01
GEN-0009;IMAGE;푸른포장(예시);자스민쌀10K;자스민쌀;10kg/PO;EA/BOX;₩38,500;₩39,704;2026-08-05
GEN-0010;IMAGE;바다원(예시);라임30과;라임;기존 1kg / 변경 4단;KG/단;₩30,500;₩31,876;2026-08-10
GEN-0011;XLSX;바다원(예시);허브염지닭정육;허브 염지 닭정육;2kg×6PK/BOX;BOX;₩83,000;₩83,451;2026-08-03
GEN-0012;PDF;한결유통(예시);로메인쉬레드;로메인 쉬레드;1kg/PK;PK;₩10,000;₩9,892;2026-08-12
